epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
108,24861.2,0.43914,0.55376,0.28164,0.8743,0.79073,0.83173,0.47555,0.45918,0.59313,0.35094,5.92596e-05,5.92596e-05,5.92596e-05
109,25468.9,0.43244,0.55064,0.27688,0.87903,0.78716,0.83386,0.47968,0.4573,0.60821,0.34589,5.68425e-05,5.68425e-05,5.68425e-05
110,26077,0.43273,0.55049,0.28498,0.87474,0.78338,0.8329,0.47885,0.45768,0.60213,0.34468,5.4467e-05,5.4467e-05,5.4467e-05
111,26685.6,0.42679,0.55058,0.27362,0.87023,0.79321,0.82869,0.47556,0.46039,0.59936,0.34938,5.21341e-05,5.21341e-05,5.21341e-05
112,27294.3,0.43172,0.55139,0.2775,0.86731,0.79569,0.83302,0.477,0.4572,0.60368,0.34818,4.98448e-05,4.98448e-05,4.98448e-05
113,27902.9,0.42944,0.5401,0.27549,0.8593,0.79694,0.82044,0.46823,0.45843,0.59523,0.35122,4.76e-05,4.76e-05,4.76e-05
114,28510.7,0.4268,0.53339,0.27383,0.86661,0.8009,0.82947,0.47517,0.45665,0.59029,0.34999,4.54008e-05,4.54008e-05,4.54008e-05
115,29118.7,0.41585,0.53717,0.26679,0.86671,0.79645,0.82707,0.47587,0.45435,0.58432,0.34342,4.32482e-05,4.32482e-05,4.32482e-05
116,29727,0.42509,0.52749,0.27188,0.85915,0.7924,0.82052,0.47158,0.45623,0.58353,0.34207,4.1143e-05,4.1143e-05,4.1143e-05
117,30335.3,0.41016,0.54376,0.26267,0.85921,0.79694,0.82307,0.47432,0.45772,0.58525,0.34725,3.90862e-05,3.90862e-05,3.90862e-05
118,30944.2,0.41953,0.52737,0.26723,0.86229,0.79696,0.82902,0.47818,0.45824,0.58154,0.35117,3.70788e-05,3.70788e-05,3.70788e-05
119,31553.9,0.41597,0.53732,0.26916,0.8644,0.79817,0.82595,0.47671,0.4578,0.57658,0.35222,3.51215e-05,3.51215e-05,3.51215e-05
120,32162.5,0.41567,0.54264,0.26599,0.87321,0.79571,0.83046,0.47784,0.45666,0.57139,0.34958,3.32153e-05,3.32153e-05,3.32153e-05
121,32770.6,0.40813,0.53593,0.26223,0.87477,0.79698,0.82895,0.47758,0.45851,0.56385,0.35471,3.1361e-05,3.1361e-05,3.1361e-05
122,33378.5,0.40581,0.5181,0.2609,0.8677,0.79201,0.8259,0.4753,0.45861,0.55655,0.35804,2.95593e-05,2.95593e-05,2.95593e-05
123,33986.8,0.40635,0.52232,0.25825,0.86615,0.79416,0.82861,0.4785,0.45934,0.5576,0.35871,2.78112e-05,2.78112e-05,2.78112e-05
124,34595.6,0.41042,0.52238,0.2657,0.86642,0.79465,0.82584,0.47712,0.46008,0.55561,0.35958,2.61173e-05,2.61173e-05,2.61173e-05
125,35203.9,0.4032,0.51201,0.26491,0.86828,0.80021,0.8236,0.47719,0.46055,0.55188,0.36299,2.44784e-05,2.44784e-05,2.44784e-05
126,35812.3,0.40265,0.50479,0.25793,0.86727,0.79801,0.82695,0.47771,0.46051,0.55224,0.36408,2.28952e-05,2.28952e-05,2.28952e-05
127,36422.2,0.39866,0.50453,0.25372,0.86715,0.80065,0.82834,0.47722,0.45832,0.56331,0.35952,2.13685e-05,2.13685e-05,2.13685e-05
128,37030.4,0.4008,0.50853,0.26029,0.86251,0.80057,0.82644,0.4758,0.45913,0.56427,0.36214,1.98988e-05,1.98988e-05,1.98988e-05
129,37638.2,0.39081,0.50987,0.25167,0.85967,0.79949,0.82897,0.47693,0.45974,0.56532,0.36196,1.84868e-05,1.84868e-05,1.84868e-05
